Unnamed: 0,Unnamed: 1,Unnamed: 2,Total Number of Filings,Unnamed: 4,Unnamed: 5,19232,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20
Serial No.,Date,Company Name,File No.,File Name,CUSIP Number,Form Type,Total Pages,Edited Pages,Template type,Edited,Accession Number,Completion Time,Post Status,Edited by,TC Done by,Filed By,SEC Filing Links,Notes,Comments by Barclays ,File Type
1,2020-10-26 00:00:00,,06741WLN8 ,,,424B2,17,,Automated,Yes,0001481057-20-000229,,Maggie Luebs,Latif,,Habib,,Margin Edit,,Prelim
2,2020-10-26 00:00:00,,06747QNH6 ,,,424B2,7,,Automated,No,0001481057-20-000227,,Maggie Luebs,Al Amin,,Sultana,,,,Prelim
3,2020-10-29 00:00:00,,06747QNT0 ,,,424B2,21,,Automated,Yes,0001481057-20-000234,,Maggie Luebs,Shamim,,Habib,,Date update,,Prelim
4,2020-10-30 00:00:00,,06747QP35 ,,,424B2,14,,Automated,No,0001481057-20-000239,,Maggie Luebs,Mostafizur,,Habib,,,,Prelim
5,2020-10-30 00:00:00,,06747QNZ6 ,,,424B2,14,,Automated,No,0001481057-20-000240,,Maggie Luebs,Habib,,Habib,,,,Prelim
6,2020-10-30 00:00:00,,06747QP68 ,,,424B2,16,,Automated,No,0001481057-20-000241,,Maggie Luebs,Zakir,,Habib,,,,Prelim
7,2020-11-03 00:00:00,,06747QPH4 ,,,424B2,13,,Automated,No,0001481057-20-000250,,Maggie Luebs,Al Amin,,Habib,,,,Prelim
8,2020-11-03 00:00:00,,06741WLU2 ,,,424B2,17,,Automated,No,0001481057-20-000249,,Maggie Luebs,Saykot,,Habib,,,,Prelim
9,2020-11-04 00:00:00,,06747QPX9 ,,,424B2,19,,Automated,No,0001481057-20-000264,,Maggie Luebs,Jewel,,Habib,,,,Prelim
10,2020-11-05 00:00:00,,06747QP92 ,,,424B2,15,,Automated,No,0001481057-20-000269,,Maggie Luebs,Mostafizur,,Sultana,,Mailed not to send any proof by Maggie,,Prelim
11,2020-11-05 00:00:00,,06747QNW3 ,,,424B2,17,,Automated,No,0001481057-20-000273,,,Shamim,,Sultana,,,,Prelim
12,2020-11-05 00:00:00,,06747QNX1 ,,,424B2,18,,Automated,No,0001481057-20-000272,,Maggie Luebs,Saykot,,Habib,,,,Prelim
13,2020-11-05 00:00:00,,06747QP43 ,,,424B2,17,,Automated,No,0001481057-20-000270,,,Al Amin,,Habib,,,,Prelim
14,2020-11-05 00:00:00,,06747QP50 ,,,424B2,17,,Automated,No,0001481057-20-000271,,,Jewel,,Habib,,,,Prelim
15,2020-11-05 00:00:00,,06747QPR2 ,,,424B2,16,,Automated,No,0001481057-20-000275,,,Mahfuza,,Habib,,,,Prelim
16,2020-11-05 00:00:00,,06747QPY7 ,,,424B2,18,,Automated,No,0001481057-20-000274,,,Mostafizur,,Sultana,,,,Prelim
17,2020-11-05 00:00:00,,06747QPZ4 ,,,424B2,19,,Automated,No,0001481057-20-000276,,,Saykot,,Habib,,,,Prelim
18,2020-11-05 00:00:00,,06747QPF8 ,,,424B2,21,,Automated,No,0001481057-20-000277,,,Al Amin,,Habib,,,,Prelim
19,2020-11-05 00:00:00,,06747QPG6 ,,,424B2,21,,Automated,No,0001481057-20-000278,,,Jewel,,Habib,,,,Prelim
20,2020-11-05 00:00:00,,06747QP84 ,,,424B2,18,,Automated,No,0001481057-20-000279,,Maggie Luebs,Shamim,,Habib,,,,Prelim
21,2020-11-05 00:00:00,,06747QPB7 ,,,424B2,18,,Automated,No,0001481057-20-000280,,,Mostafizur,,Habib,,,,Prelim
22,2020-11-05 00:00:00,,06747QPN1 ,,,424B2,15,,Automated,No,0001481057-20-000281,,,Saykot,,Habib,,,,Prelim
23,2020-11-05 00:00:00,,06747QPP6 ,,,424B2,15,,Automated,No,0001481057-20-000282,,,Shamim,,Sultana,,,,Prelim
24,2020-11-09 00:00:00,,06747QPH4 - AMD,,,424B2,13,,Automated,Yes,0001481057-20-000289,,Maggie Luebs,Al Amin,,Habib,,,,Prelim
25,2020-11-09 00:00:00,,06747QPX9 - AMD,,,424B2,19,,Automated,Yes,0001481057-20-000295,,Alex Weiss,Shamim,,Habib,,,,Prelim
26,2020-11-10 00:00:00,,06747QQF71,,,424B2,7,,Automated,No,0001481057-20-000296,,Maggie Luebs,Mostafizur,,Habib,,,,Prelim
27,2020-11-10 00:00:00,,06747QPW1,,,424B2,20,,Automated,No,0001481057-20-000297,,,Latif,,Habib,,,,Prelim
28,2020-11-10 00:00:00,,06747QQ26,,,424B2,22,,Automated,No,0001481057-20-000299,,,Shamim,,Habib,,,,Prelim
29,2020-11-10 00:00:00,,06747QPV3,,,424B2,20,,Automated,No,0001481057-20-000298,,,Saykot,,Zakir,,,,Prelim
30,2020-11-10 00:00:00,,06747QQ59,,,424B2,22,,Automated,No,0001481057-20-000301,,,Mostafizur,,Sultana,,,,Prelim
31,2020-11-10 00:00:00,,06747QQ75,,,424B2,20,,Automated,No,0001481057-20-000300,,,Shamim,,Habib,,,,Prelim
32,2020-11-10 00:00:00,,06747QQ67,,,424B2,22,,Automated,No,0001481057-20-000302,,,Al Amin,,Habib,,,,Prelim
33,2020-11-10 00:00:00,,06747QPU5,,,424B2,22,,Automated,No,0001481057-20-000303,,,Saykot,,Zakir,,,,Prelim
34,2020-11-11 00:00:00,,06741WLY4 ,,,424B2,17,,Automated,Yes,0001481057-20-000309,,,Habib,,Habib,,,,Prelim
35,2020-11-11 00:00:00,,06747QQ75 - FS,,,FWP,2,,Automated,No,0001481057-20-000305,,,Habib,,Habib,,,,Fact Sheet
36,2020-11-11 00:00:00,,06747QPV3 - FS,,,FWP,2,,Automated,No,0001481057-20-000311,,,Habib,,Habib,,,,Fact Sheet
37,2020-11-11 00:00:00,,06747QPW1 - FS,,,FWP,2,,Automated,No,0001481057-20-000310,,,Zakir,,Habib,,,,Fact Sheet
38,2020-11-11 00:00:00,,06747QQ26 - FS,,,FWP,2,,Automated,No,0001481057-20-000306,,,Zakir,,Habib,,,,Fact Sheet
39,2020-11-11 00:00:00,,06747QQ59 - FS,,,FWP,2,,Automated,No,0001481057-20-000308,,,Habib,,Habib,,,,Fact Sheet
40,2020-11-11 00:00:00,,06747QQ67 - FS,,,FWP,2,,Automated,No,0001481057-20-000307,,,Habib,,Habib,,,,Fact Sheet
41,2020-11-12 00:00:00,,06747QPU5 - FS,,,FWP,2,,Automated,No,0001481057-20-000312,,,Habib,,Habib,,,,Fact Sheet
